#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321A41BC4
#Date Time: 2019-05-16 13:12:15.221

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
810,0.4358775633751328,0.4358800269625338,0.001465486599266881,-0.006795443943694026,0.006937084400206376,0.001394661816967933
820,0.4351371506567653,0.4351372132117665,0.0002333237322394637,-0.007109945202344427,0.007292336512054096,0.001620756312561604
830,0.4345239612530974,0.4345261662460337,0.001384286583665986,-0.006644118700401383,0.006759501741325417,0.00124360382999043
840,0.4319682561505446,0.4319700978376436,0.001261389738026698,-0.006299534712662708,0.006336584819746473,0.0006842291880712706
850,0.4313824894401427,0.4313828704363419,0.0005733326008010246,-0.006550679920657393,0.00664748121534129,0.001130309287505926
860,0.4305144038547381,0.4305174271141614,0.001613419517698803,-0.006748952453284908,0.006883013468009459,0.001351856199492997
870,0.4280517560883675,0.4280535182509823,0.001228249416882677,-0.00712908875721875,0.007313403407077642,0.001631552293481384
880,0.424897247257348,0.4248999472024768,0.00151472959839362,-0.007640950950645367,0.007855769653599357,0.001824550744775128
890,0.42406422675515,0.4240645177988281,0.0004968324345435436,-0.007254889260678778,0.00745036120778255,0.001695424413453446
900,0.4222961373675788,0.422300150447159,0.001841041025946711,-0.006809573710386881,0.006953434410509146,0.001407109087481515
910,0.4201355887795593,0.4201370272646361,0.001099417838110474,-0.006462254929094808,0.006539704633207795,0.001003492860462981
920,0.4169559050169717,0.4169568205807187,0.0008737849906863482,-0.006694712381140853,0.006819388870239404,0.001298033396085674
930,0.4164533054910866,0.4164544687843691,0.0009843352894716461,-0.006700181968247766,0.006825831682702058,0.001303663972408252
940,0.4139816666778259,0.413984751974656,0.001598287263905106,-0.006572558269085189,0.006673878999236524,0.0011585070979243
950,0.4130789655616552,0.4130790770695391,0.0003035180906281244,-0.006315487675058021,0.006357053221064601,0.0007257693033240656
960,0.41205218799715,0.4120554564519326,0.001641206465698571,-0.006341468213816037,0.006389547043552206,0.0007823632883374168
970,0.4094061228724937,0.4094073426908531,0.0009994016858644076,-0.006232988069527963,0.006251887360377801,0.0004857522948825184
980,0.4069717969041066,0.4069755789422228,0.001754531288096817,-0.006207007530769903,0.006218126901354676,0.0003716983647066171
990,0.405444218023104,0.4054452934645733,0.0009338438091557535,-0.006259880206137186,0.006286090486092661,0.0005734399743357843
1000,0.403011240711751,0.403014578945261,0.001640336069745718,-0.006182850187714151,0.00618765129645778,0.0002437049914306806
1010,0.4010610826229499,0.401064313041805,0.001609720789957793,-0.006216579308207074,0.006230485611584324,0.0004160440612973329
1020,0.3984037786896307,0.3984045311157897,0.0007742993395882427,-0.006179203796309506,0.006182087676755688,0.0001888080686256547
1030,0.3957680532690165,0.3957716921898847,0.001697159550956013,-0.006177380600607183,0.006179717106045383,0.0001699188806499227
1040,0.3942966684316066,0.3942981513989051,0.001081415905462163,-0.006180115394160668,0.006183547859348824,0.0002060044750126796
1050,0.3914163865332619,0.3914182735054578,0.001215395932107647,-0.006232988069527977,0.006251615131089041,0.0004822359094810412
1060,0.3896739216295644,0.3896778868733656,0.001757930587434202,-0.006191510367300174,0.006198065313984756,0.0002849789607056106
1070,0.3871613735524818,0.3871620366298656,0.000716544702544884,-0.006440376580666976,0.006512763031269143,0.0009683138957337427
1080,0.3845409329117075,0.3845443040802856,0.001610191275311539,-0.006171455214574639,0.006173936387570248,0.0001750172913541935
1090,0.3828429736905408,0.3828458459141038,0.001482979919211464,-0.006179203796309507,0.006182638246111098,0.0002060488436254459
1100,0.3798741299795036,0.3798748517436725,0.0007405130215173206,-0.006256233814732572,0.006281426950515006,0.000562016894819091
1110,0.3770010409188057,0.3770040258790129,0.001500225026788509,-0.00644402297207163,0.006517261032531542,0.0009742993901144162
1120,0.3741998802338509,0.3742043644302363,0.001831936577210469,-0.007039752167805088,0.007214564942515126,0.001578555265318194
1130,0.3717399297815786,0.3717431516682713,0.001547713874705311,-0.007103564017386093,0.007285300676144,0.001617091275326496
1140,0.3690412670321315,0.3690422305842009,0.0008433159926905231,-0.007123163371186244,0.007306889192025225,0.00162824238120081
1150,0.3666491989845181,0.3666536663369151,0.001809950906459754,-0.007391628938352936,0.007596428243081248,0.001752011327018131
1160,0.3630532297469965,0.3630577877995224,0.001819244932230242,-0.007056616728051485,0.007233326636752605,0.001589079792631798
1170,0.3606022703418222,0.3606058102778327,0.001597820546145698,-0.007247140678944076,0.007441998244018248,0.001691830323518718
1180,0.3575902696053002,0.3575921929404136,0.001172832279685891,-0.006629533134782728,0.006742138201803584,0.001227076993122096
1190,0.3544735231715357,0.3544758050024342,0.0012718893438197,-0.006759891627498729,0.006895774183865354,0.00136219190254061
1200,0.3514107230196693,0.3514145330850387,0.001636401610191837,-0.006843302830879891,0.006992308914059084,0.001435823914870302
1210,0.3479248941075914,0.3479291316688395,0.001717184936097014,-0.006227062683495422,0.006243993274911614,0.0004595022883181828
1220,0.3445483064162593,0.3445530218116953,0.001802605139694938,-0.006151400061849108,0.006156903987270161,0.0002602767518534808
1230,0.3415192226904871,0.3415240785402261,0.001821196211818961,-0.00616735302424442,0.006168318368923411,0.0001091245836218291
1240,0.3383256028050713,0.3383299890794765,0.001722787600121202,-0.006170087817797901,0.006171880450795767,0.0001487434690543732
1250,0.3343983134865373,0.3344031138085072,0.001791776257047487,-0.006155046453253753,0.006161109326571899,0.0002732604842802895
1260,0.3312019962870401,0.3312055786162919,0.001540442141979272,-0.006164162431765356,0.006165816368198011,0.0001428040656303974
1270,0.3268669629881999,0.3268719956252787,0.001813844232397087,-0.006171911013500223,0.006173702713289517,0.0001487267074955856
1280,0.3228412217053562,0.3228464726160362,0.001841317030446619,-0.00619880315010946,0.006207514137382179,0.000328741953516751
1290,0.3191054416873859,0.3191107519024543,0.001840941403900035,-0.006152767458625846,0.006158964923370837,0.0002762273110981368
1300,0.3149538257468275,0.3149588138175311,0.001772582516779272,-0.006170087817797902,0.00617160469240572,0.0001368239744917597
1310,0.3105194413789977,0.3105258577326942,0.001996207984185868,-0.006120861533835223,0.006146057016389032,0.0005559414828293628
1320,0.3058076832119264,0.3058123469047642,0.001688907327369237,-0.006062975070286524,0.00609479596789977,0.0006219897004134038
1330,0.3015904326284416,0.3015951486468186,0.001686604365952243,-0.006168720421021161,0.006169547978618467,0.0001010476509435107
1340,0.297397457871883,0.2974030539212488,0.001824426777108148,-0.00616872042102116,0.006169547978618468,0.0001010476509435046
1350,0.293202235353511,0.2932079717017838,0.001834081025594754,-0.006157325447881657,0.006161595931500744,0.0002293637982877312
1360,0.2893976738261679,0.2894033967782111,0.001820013946939181,-0.006162339236063035,0.006165924207311454,0.0002102295649924105
1370,0.2858826240114123,0.2858885297964676,0.001837595582862548,-0.006170087817797901,0.006170777343297397,9.22460905614787e-05
1380,0.2816487399910491,0.281653994205852,0.001720381803674846,-0.0061377260940817,0.00614734066923225,0.0003436796439052004
1390,0.277835636969083,0.2778408631335691,0.001704129325626488,-0.006148209469370045,0.006154673875518862,0.0002820121180946522
1400,0.2736278269850125,0.2736308236591353,0.001280607606719905,-0.006104452772514355,0.006124007545588242,0.0004890038512866289
1410,0.2709687248422853,0.2709748143685326,0.001816639595002948,-0.006151855860774694,0.006158051678959066,0.000276170145005063
1420,0.2678982823004356,0.2679044292892085,0.001814820448728843,-0.006169176219946741,0.00617041750719933,0.00012376178895404
1430,0.265672099069499,0.2656727027829007,0.0005663744102006431,-0.006414851840834538,0.006481189616778761,0.0009249295696389
1440,0.2632993617728814,0.2633051061814318,0.001739261682520451,-0.006437185988187951,0.006508824730307521,0.0009630347466985815
1450,0.261999705932705,0.2620001975753961,0.0005075635152155538,-0.007100829223832665,0.007282283236960069,0.001615510283869244
1460,0.2620015041421003,0.2620019266985927,0.0004705539831406299,-0.007214778955227823,0.007406968503703261,0.001676349319821771
1470,0.2617146897436086,0.2617169065532268,0.001077194595642392,-0.007106754609865376,0.007288819443053473,0.001618927975112865
1480,0.2619731823441306,0.2619737958745377,0.0005669721357594038,-0.007217057949855816,0.007409440807529651,0.00167746464306123
1490,0.2620558999762974,0.2620559662250049,0.0001863376861222129,-0.006640472308996765,0.006755165040640626,0.001239508870379062
1500,,,,,,
1510,,,,,,
1520,,,,,,
1530,,,,,,
1540,,,,,,
1550,,,,,,
1560,,,,,,
1570,,,,,,
1580,,,,,,
1590,,,,,,
1600,,,,,,
1610,,,,,,
1620,,,,,,
1630,,,,,,
1640,,,,,,
1650,,,,,,
1660,,,,,,
1670,,,,,,
1680,,,,,,
1690,,,,,,
1700,,,,,,
1710,,,,,,
1720,,,,,,
1730,,,,,,
1740,,,,,,
1750,,,,,,
1760,,,,,,
1770,,,,,,
1780,,,,,,
1790,,,,,,
